Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
Y_C00084, 0.994444444444, 0.074328267557, 0.00242161052419, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00085, 0.993333333333, 0.0813770374382, 0.00263874268601, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00086, 0.992222222222, 0.0878480731184, 0.00283496684937, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00089, 0.981111111111, 0.136132651357, 0.00472842729577, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00091, 0.985555555556, 0.119313882131, 0.00405365252155, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00092, 0.987777777778, 0.109876473852, 0.00347655285492, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00093, 0.986666666667, 0.114697670227, 0.00361068373539, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00094, 0.991111111111, 0.0938609425864, 0.00301436888139, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00095, 0.987777777778, 0.109876473852, 0.00347655285492, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00096, 0.984444444444, 0.123748051487, 0.00385541146064, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00097, 0.991111111111, 0.0938609425864, 0.00301436888139, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00099, 0.992222222222, 0.0878480731184, 0.00283496684937, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00100, 0.976666666667, 0.150959891656, 0.0057294991486, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00101, 0.995555555556, 0.0665183535426, 0.00217732421581, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00103, 0.994444444444, 0.074328267557, 0.00242161052419, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00106, 0.986666666667, 0.114697670227, 0.00361068373539, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00108, 0.978888888889, 0.143754763743, 0.00463347988044, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00109, 0.993333333333, 0.0813770374382, 0.00307117221357, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00110, 0.982222222222, 0.132142833309, 0.00436597393431, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00111, 0.991111111111, 0.0938609425864, 0.00301436888139, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00114, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00116, 0.982222222222, 0.132142833309, 0.00464013622618, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00117, 0.988888888889, 0.104822012578, 0.00333333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00118, 0.995555555556, 0.0665183535426, 0.00217732421581, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00119, 0.991111111111, 0.0938609425864, 0.0033993463424, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00120, 0.983333333333, 0.128019095798, 0.00426730319326, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00121, 0.981111111111, 0.136132651357, 0.00498268607217, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00122, 0.99, 0.0994987437107, 0.00317979733806, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00123, 0.992222222222, 0.0878480731184, 0.00324132269907, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00124, 0.986666666667, 0.114697670227, 0.00361068373539, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00125, 0.992222222222, 0.0878480731184, 0.00283496684937, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00126, 0.988888888889, 0.104822012578, 0.00333333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
Y_C00127, 0.982222222222, 0.132142833309, 0.00407340061774, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0
