Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
b_{cge00010,C00009}, 0.484356141653, 0.835722605832, 0.0342095198614, 7.50211099399e-127, 2.17846549996, 3.66345467577e-13, 0.00420845507073, 0.116451549981, 0.614577594435, 2.83649764496
b_{cge00010,C00011}, 0.484697120239, 0.814784994818, 0.0328754941242, 5.81155275907e-96, 2.12737608302, 2.95371672279e-13, 0.00491371404119, 0.126323478016, 0.598396562237, 2.83535656001
b_{cge00010,C00013}, 0.470199170419, 0.787493288676, 0.032959555725, 1.96189878567e-107, 2.11830681511, 3.74962778085e-13, 0.00451415856104, 0.115766871205, 0.617064043483, 2.77526864893
b_{cge00010,C00022}, 0.483349791524, 0.849377649836, 0.0330951542424, 7.38732105196e-110, 2.17715113334, 3.583433415e-13, 0.00585108338335, 0.128780879528, 0.594029650677, 2.91928625721
b_{cge00010,C00033}, 0.465474092695, 0.810910293183, 0.0309110623067, 2.74364844715e-117, 2.06520636834, 3.75949349559e-12, 0.0052392143825, 0.116346453006, 0.568902128293, 2.88023559917
b_{cge00010,C00036}, 0.482440732639, 0.821194128369, 0.0308836436809, 1.51063369253e-132, 2.19308765093, 1.29961030884e-12, 0.00443526753848, 0.118060155861, 0.609899055514, 2.91322290426
b_{cge00010,C00074}, 0.470391517106, 0.81519538216, 0.0327399977023, 7.39969447248e-84, 2.16798396275, 2.32399145719e-13, 0.00349349343054, 0.116045549267, 0.579081704435, 2.76766341033
b_{cge00010,C00080}, 0.479068066463, 0.812762953012, 0.0319295069154, 1.37243241394e-97, 2.18731555572, 4.16838128415e-13, 0.00476647304661, 0.122670081379, 0.614262322426, 2.91576853127
b_{cge00010,C00084}, 0.494711102101, 0.851078238004, 0.0319377812511, 9.82114087668e-223, 2.23743994577, 6.46012530316e-13, 0.00440456000732, 0.122437612759, 0.608911078137, 2.92306125968
b_{cge00010,C00103}, 0.453438912105, 0.793580392524, 0.0318370119032, 1.99098506865e-100, 1.99446899728, 2.8549173859e-13, 0.00384349848798, 0.112110792488, 0.563221993354, 2.77780343807
b_{cge00010,C00111}, 0.489177889178, 0.820200845509, 0.0331987971752, 1.6208507881e-107, 2.14728408997, 2.92533355777e-13, 0.00434384040412, 0.122513509174, 0.631133126996, 2.81756126622
b_{cge00010,C00118}, 0.493387989853, 0.821551854424, 0.0329200994845, 3.7284212806e-177, 2.23222816807, 1.73125390403e-13, 0.00459683672465, 0.125941300535, 0.63613693721, 2.94234102263
b_{cge00010,C00186}, 0.738777477999, 0.636493693844, 0.0174680177216, 0.00025916672966, 2.01106081702, 0.0409235070471, 0.268665229145, 0.569155788639, 1.01749838104, 2.4511856505
b_{cge00010,C00197}, 0.479852260837, 0.817054186727, 0.032121586223, 1.42435113835e-168, 2.19953523412, 4.62307426709e-13, 0.00499718700264, 0.113936173243, 0.599696433837, 2.81576633745
b_{cge00010,C00221}, 0.488530931427, 0.843044110208, 0.0313363945641, 4.62545917567e-70, 2.20292037116, 6.25079250922e-13, 0.00427975736075, 0.120103391461, 0.611849647689, 2.84548766811
b_{cge00010,C00236}, 0.479904335228, 0.804675868472, 0.0312623695829, 1.14618512249e-115, 2.14443472307, 2.32229554477e-12, 0.00573346264403, 0.119418195694, 0.613480038439, 2.84080925999
b_{cge00010,C00267}, 0.223381675885, 0.470437486762, 0.0300607523925, 1.10677382633e-08, 1.2334612299, 6.12644450118e-07, 0.000104919770838, 0.00394394715864, 0.195284640701, 1.61577450187
b_{cge00010,C00469}, 0.475865685269, 0.807140056808, 0.0308905485712, 4.34239224735e-83, 2.11772888969, 3.4203531586e-12, 0.00459267516324, 0.115586628252, 0.589431752873, 2.87754148227
b_{cge00010,C00631}, 0.476795576073, 0.831889995628, 0.0310218320943, 2.27098326629e-135, 2.16465492059, 4.3035637207e-13, 0.0051275288947, 0.110782467412, 0.575595046029, 2.89289084774
b_{cge00010,C00668}, 0.48015303244, 0.824210900163, 0.0334888352101, 3.49118791983e-111, 2.14394551547, 3.3589155199e-14, 0.00451656741576, 0.109296313309, 0.596747923532, 2.95567202301
b_{cge00010,C01159}, 0.487544566285, 0.855621678927, 0.0337740605922, 5.30504854314e-107, 2.1758094588, 3.10933616779e-13, 0.00407974877346, 0.108890948999, 0.592932696414, 2.94265400667
b_{cge00010,C01172}, 0.481301920929, 0.806246334539, 0.0309076943435, 1.37711742977e-116, 2.12633947377, 6.6865491134e-13, 0.00408752786241, 0.119855850461, 0.624215574566, 2.73340416491
b_{cge00010,C05125}, 0.463814420117, 0.816703351513, 0.0316946985527, 7.18860893062e-129, 2.09155882558, 9.46065757957e-14, 0.00443585801774, 0.114430276337, 0.559964836318, 2.81808404769
b_{cge00010,C05345}, 0.481630042793, 0.831933065199, 0.0321538749037, 1.11992983371e-134, 2.20127799867, 9.93168662911e-13, 0.0052525976134, 0.119082869636, 0.588720298526, 2.92650700975
b_{cge00010,C05378}, 0.483324230928, 0.816299633973, 0.0331028933536, 9.40358778527e-100, 2.19735164854, 1.30163464116e-13, 0.00319541940031, 0.10830816778, 0.597149480341, 2.85753630894
b_{cge00010,C15972}, 0.476196518424, 0.844934544326, 0.0333893727298, 3.62836697199e-65, 2.14707758859, 3.86737577988e-14, 0.00462999364826, 0.110403416103, 0.571298378247, 3.00514253855
b_{cge00010,C15973}, 0.489304407847, 0.881579924676, 0.0334836215051, 4.5328542463e-140, 2.20736808883, 1.94411153642e-12, 0.00375595795832, 0.11621562303, 0.589035892137, 3.09470378706
b_{cge00010,C16255}, 0.479616424851, 0.829228986619, 0.0318936402584, 2.46828458728e-80, 2.20607352711, 5.53664348804e-13, 0.00495485320541, 0.115675093773, 0.572277142163, 2.98415242768
b_{cge00020,C00009}, 0.316806563698, 0.637083324592, 0.0206043634558, 3.56062625355e-63, 1.57295809064, 4.19331061848e-13, 0.000711923778773, 0.0427104544332, 0.332214351101, 2.18777204032
b_{cge00020,C00011}, 0.320032136987, 0.611574136702, 0.0186720722598, 1.84748495827e-63, 1.53860359919, 7.1486118418e-14, 0.00112563448698, 0.0497237607367, 0.361825671904, 2.12132393683
b_{cge00020,C00022}, 0.325689154016, 0.63899743816, 0.0193155310625, 2.69486071143e-61, 1.61289972616, 3.60777843094e-13, 0.000869739819236, 0.0491893953031, 0.358114038544, 2.21876149558
b_{cge00020,C00026}, 0.332132788001, 0.637243367559, 0.0204096779741, 5.56475783043e-54, 1.60668259067, 1.85579601955e-13, 0.000853242503044, 0.0528029953241, 0.369416768548, 2.17076487743
b_{cge00020,C00036}, 0.319846281487, 0.630922120013, 0.0185487357972, 1.83143958781e-74, 1.52258391669, 6.10504412513e-13, 0.000902520498037, 0.0470590063632, 0.344566990395, 2.09619106429
b_{cge00020,C00042}, 0.186726902275, 0.359954110579, 0.0202310160993, 1.87765477432e-09, 0.95202947186, 2.04720145331e-07, 0.000192975319235, 0.0086458279024, 0.201568859563, 1.25934548959
b_{cge00020,C00074}, 0.311261393495, 0.581931971973, 0.019036834345, 2.6424589955e-42, 1.51448938868, 1.32389771481e-12, 0.000947128908153, 0.0518461308805, 0.341574617736, 2.01792427082
b_{cge00020,C00080}, 0.331539837342, 0.651400043162, 0.0197620031375, 9.29231403174e-51, 1.67477204763, 1.3552305144e-12, 0.000563416529357, 0.0474806395445, 0.338186210448, 2.25572767
b_{cge00020,C00091}, 0.32177855453, 0.631937546301, 0.0191280687405, 1.25276030416e-80, 1.58047978199, 3.51002514702e-13, 0.00090483431077, 0.0488052588736, 0.354318193457, 2.19592062384
b_{cge00020,C00122}, 0.151528820705, 0.349449835648, 0.0198904273171, 7.48685561337e-10, 0.925888105367, 8.34375648559e-08, 0.000149666113378, 0.00248424305732, 0.113371663404, 1.31895187972
b_{cge00020,C00149}, 0.324828518763, 0.623651828984, 0.0186876057891, 3.23911927096e-49, 1.57542242464, 4.42247105067e-12, 0.000918728650181, 0.0507452733415, 0.354406001152, 2.15772288145
b_{cge00020,C00158}, 0.242147125041, 0.428771248787, 0.0202601449531, 3.50140698774e-05, 1.12008664099, 3.50140698774e-05, 0.00158547307775, 0.0470324971405, 0.294311237672, 1.52121415608
b_{cge00020,C00311}, 0.254995769742, 0.450614027967, 0.0228731364156, 1.25254690016e-06, 1.20267291224, 7.59002656663e-05, 0.00598181505227, 0.0480899634148, 0.300358784017, 1.55444225173
b_{cge00020,C00417}, 0.302105571185, 0.591674760201, 0.0173202218087, 5.67573397265e-46, 1.48339546657, 2.75593117275e-13, 0.000816401510937, 0.0441740162232, 0.325626558349, 2.07383626147
b_{cge00020,C05125}, 0.315279506705, 0.59822037519, 0.0181784354031, 3.53760320593e-40, 1.54072519875, 7.03833557916e-13, 0.000919916066282, 0.0463250938566, 0.349348189819, 2.07694296707
b_{cge00020,C05379}, 0.314383026051, 0.625336778723, 0.0188813006668, 1.78382863352e-62, 1.49109406028, 2.48541852307e-13, 0.000951902783324, 0.0459366682506, 0.340079185873, 2.10327245301
b_{cge00020,C05381}, 0.324481233203, 0.663254520273, 0.019870755178, 1.77416123837e-83, 1.60746504, 2.55957087601e-13, 0.000824631898161, 0.047860420546, 0.344304204135, 2.29262065545
