Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
g_C11278, 0.0338461538462, 0.180833049291, 0.00754492716505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0
g_C11376, 0.0912820512821, 0.288009788715, 0.0113197085859, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
g_C11455, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
g_C11482, 0.144615384615, 0.351712631488, 0.0128831404806, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
g_C11508, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
g_C11522, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
g_C11537, 0.101538461538, 0.302040398568, 0.0160443059397, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
g_C11554, 0.118974358974, 0.323758337161, 0.0147422295917, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
g_C11555, 0.146666666667, 0.353773310971, 0.0154004168614, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
g_C11556, 0.130256410256, 0.336585320303, 0.0150406855636, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
g_C11557, 0.106666666667, 0.308688984074, 0.0119148211469, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
g_C11583, 0.135384615385, 0.34213392305, 0.0179639556809, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
g_C11736, 0.127179487179, 0.333173926381, 0.0163522188625, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
g_C11821, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
g_C12126, 0.132307692308, 0.338824979693, 0.01501398525, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
g_C12144, 0.113846153846, 0.317624317552, 0.0141329664523, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
g_C12145, 0.132307692308, 0.338824979693, 0.0155221864312, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
g_C12248, 0.53641025641, 0.498672531054, 0.0190528828706, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
g_C12270, 0.427692307692, 0.494743971801, 0.0168522995464, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0
g_C12650, 0.106666666667, 0.308688984074, 0.013601016665, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
g_C12739, 0.148717948718, 0.355810230948, 0.013971310993, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
g_C13051, 0.147692307692, 0.35479471521, 0.0151535352189, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
g_C13550, 0.126153846154, 0.33202266979, 0.0121080526209, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
g_C13645, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
g_C13712, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
g_C13747, 0.130256410256, 0.336585320303, 0.0164845606778, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
g_C14039, 0.0123076923077, 0.110255217644, 0.00242161052419, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
g_C14040, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
g_C14180, 0.114871794872, 0.318867159825, 0.0137072567966, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
