Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
b_{cge00010,C00009}, 0.0403884962388, 0.204514545224, 0.00142885095491, 0.0, 0.19134047359, 1.10475097603e-74, 4.22798389522e-20, 1.94526658841e-09, 0.000320926280147, 0.474787817152
b_{cge00010,C00011}, 0.0380854193022, 0.184075609257, 0.00120454038075, 0.0, 0.192727162839, 1.54122026652e-72, 1.99044329782e-20, 1.80712420504e-09, 0.000301181187178, 0.4504927479
b_{cge00010,C00013}, 0.0393765578991, 0.196109931058, 0.00109620275643, 0.0, 0.192343415634, 4.49671942617e-75, 2.20187701931e-20, 1.78745851939e-09, 0.000313967266319, 0.458603610342
b_{cge00010,C00022}, 0.0387060430815, 0.19529258566, 0.00143561017312, 0.0, 0.189140923586, 4.73685345443e-74, 3.06982254457e-20, 1.58688144092e-09, 0.00030892756322, 0.428479706948
b_{cge00010,C00033}, 0.0419702491978, 0.212648236997, 0.00144747111149, 0.0, 0.202581326748, 2.32329999218e-73, 2.60834063054e-20, 1.93863044302e-09, 0.000324720447327, 0.468135538469
b_{cge00010,C00036}, 0.0425296811621, 0.205762470702, 0.00130463303525, 0.0, 0.211607073866, 5.26773801115e-72, 2.99642380429e-20, 1.78043101393e-09, 0.000339346133698, 0.502852690847
b_{cge00010,C00074}, 0.0405803071908, 0.204203959197, 0.00155426143691, 0.0, 0.195712311868, 7.17520309771e-74, 3.08814514816e-20, 2.23346094618e-09, 0.000332809941874, 0.472354341043
b_{cge00010,C00080}, 0.0429268490224, 0.215397130582, 0.00153463834577, 0.0, 0.203805274458, 3.57837617379e-73, 5.33961270045e-20, 2.46716323949e-09, 0.00038309135504, 0.49752078378
b_{cge00010,C00084}, 0.0412974567353, 0.20669097146, 0.0014479217325, 0.0, 0.191046016409, 1.61540342648e-73, 4.42343978473e-20, 1.52685140903e-09, 0.000301983331334, 0.478409910667
b_{cge00010,C00103}, 0.0395191230067, 0.19667155517, 0.00140622892927, 0.0, 0.189295166044, 1.92540899472e-74, 3.03881479691e-20, 1.86489757422e-09, 0.000300415272246, 0.467699472942
b_{cge00010,C00111}, 0.0411636660266, 0.206172168405, 0.00128783085212, 0.0, 0.202676085321, 7.67075009507e-74, 4.39571520843e-20, 2.35334867802e-09, 0.00029700036618, 0.490577509985
