Precursor Mass,Retention Time,Observation Confidence,Average Observation Score,Compound
continuous,continuous,continuous,continuous,string
,,,,meta
385.2493,16.99,0.75,0.75,C07753
139.0977,5.13,0.75,0.75,C20267
736.3205,1.85,0.75,0.75,C16568
175.0864,2.66,0.782327571197,0.782327571197,C02937
205.0972,9.67,0.350964931617,0.350964931617,C07839
120.0658,10.61,0.850895347531,0.585447673765,C03678
399.0028,10.4,0.75,0.75,C08001
291.045,13.26,0.75,0.75,C19880
107.0492,9.27,0.75,0.575,C00193
193.0345,25.91,0.76,0.76,C00158
132.1024,8.32,0.824387261514,0.507193630757,C02486
136.0762,10.31,0.612224293576,0.612224293576,C19714
146.0594,2.55,0.752151619758,0.752151619758,C06343
90.0562,9.95,0.35,0.175,C00133
130.0649,9.65,0.75,0.75,C06323
151.0615,4.48,0.656923549214,0.508461774607,C00309
152.0705,7.91,0.78640270671,0.78640270671,C16571
176.0656,9.61,0.4,0.2,C03139
130.0503,10.69,0.770450206235,0.506816735412,C02237
148.0609,16.68,0.75,0.75,C00302
259.0927,16.27,0.357515002819,0.357515002819,C14115
162.076,8.85,0.794991406825,0.677495703413,C00956
232.1322,34.43,0.728646293561,0.728646293561,C10918
309.0413,8.2,0.0,0.0,C14250
150.0545,7.21,0.295968523536,0.295968523536,C11130
491.2974,9.95,0.75,0.75,C20016
399.2293,34.38,0.464738073103,0.464738073103,C09226
90.0562,9.95,0.0,0.0,C02116
384.1508,9.34,0.361883126215,0.361883126215,C18491
191.0652,10.39,0.75,0.75,C08266
102.0556,16.72,0.894517282479,0.66225864124,C01234
265.1124,2.66,0.838237526688,0.838237526688,C17227
608.0903,25.04,0.75,0.75,C01170
234.0977,12.39,0.75,0.75,C07079
151.0615,4.48,0.753391209984,0.753391209984,C00216
345.1126,11.36,0.75,0.75,C13784
844.4573,1.85,0.75,0.75,C15702
304.1663,9.73,0.468782331304,0.468782331304,C15028
341.1019,15.98,0.792696779814,0.792696779814,C14877
560.0784,10.01,0.0635509614553,0.0635509614553,C02741
467.1087,10.06,0.75,0.75,C03293
583.1662,10.69,0.75,0.75,C11655
306.0767,25.04,0.0,0.0,C09347
213.0902,10.78,0.0,0.0,C16203
578.0964,10.46,0.758984647592,0.758984647592,C04916
150.0548,4.14,0.251908372113,0.251908372113,C02775
476.3076,2.64,0.381078519032,0.381078519032,C15823
304.1663,9.73,0.785174965777,0.785174965777,C04211
162.076,8.85,0.476193429033,0.476193429033,C17581
313.1124,17.33,0.779546634366,0.779546634366,C01625
341.1572,4.46,0.75,0.75,C17971
282.1187,14.46,0.69410291611,0.69410291611,C05031
562.1158,11.14,0.75,0.75,C11461
133.0613,11.11,0.786814747337,0.786814747337,C19258
147.0442,10.31,0.75,0.75,C05851
230.1196,2.49,0.75,0.75,C18810
489.1154,16.07,0.75,0.6,C00307
257.0385,26.74,0.75,0.75,C15189
255.1012,14.4,0.183311639335,0.183311639335,C01716
293.1712,6.12,0.75,0.75,C09741
132.1024,8.32,0.75,0.44,C02378
318.1665,16.78,0.79110090735,0.79110090735,C15007
147.0767,10.71,0.75,0.593333333333,C00819
146.0601,9.65,0.827484468654,0.827484468654,C08493
451.3068,13.46,0.75,0.75,C09940
130.0868,11.02,0.769843444634,0.769843444634,C05936
393.2093,2.66,0.82228731458,0.82228731458,C08846
295.115,15.73,0.535357782227,0.535357782227,C09570
247.129,16.87,0.09,0.09,C02206
168.0634,13.82,0.714245716345,0.714245716345,C20821
631.114,10.07,0.0629997402068,0.0629997402068,C20672
331.0609,11.11,0.0,0.0,C17688
327.1244,34.77,0.736523700398,0.736523700398,C18842
476.0628,13.86,0.810626590977,0.810626590977,C14010
277.1034,14.3,0.751153095618,0.751153095618,C17483
209.0593,15.03,0.715401510015,0.715401510015,C16207
325.0444,25.11,0.75,0.7,C00105
166.0866,9.24,0.888383633653,0.666127877884,C00079
123.0441,10.32,0.750801757928,0.750801757928,C06202
680.1088,2.07,0.75,0.75,C01050
251.1394,4.17,0.775485423532,0.775485423532,C17725
375.1128,10.96,0.75,0.75,C10183
162.076,8.85,0.278117764275,0.278117764275,C03210
259.0685,9.8,0.514305798446,0.514305798446,C07910
906.1083,10.44,0.75,0.75,C06387
131.1179,9.97,0.75,0.75,C19279
503.0624,10.91,0.75,0.75,C19799
495.139,9.99,0.75,0.75,C03709
175.0864,2.66,0.728711228446,0.454355614223,C13008
269.0266,25.09,0.75,0.75,C19226
385.2495,15.17,0.75,0.75,C07753
167.0335,25.14,0.772683490657,0.772683490657,C03590
205.0972,9.67,0.407981967173,0.407981967173,C14916
358.202,34.41,0.07,0.07,C01341
213.0902,10.78,0.75,0.75,C12537
106.0506,11.12,0.75,0.75,C00716
383.09,10.43,0.867421254667,0.867421254667,C08473
301.1512,8.27,0.000731213269657,0.000731213269657,C20962
168.0634,13.82,0.56578028857,0.56578028857,C14170
333.0659,14.28,0.75,0.75,C18386
147.1133,11.02,0.768747934649,0.768747934649,C05161
393.1953,10.52,0.75,0.75,C17054
333.0659,14.28,0.230219668208,0.230219668208,C17118
162.055,25.31,0.486436233372,0.486436233372,C06330
325.0444,25.11,0.727196073148,0.727196073148,C03031
327.1244,34.77,0.628783942262,0.628783942262,C19758
277.1042,25.04,0.0640781380508,0.0640781380508,C09582
120.0658,10.61,0.767527511537,0.767527511537,C12317
309.13,13.84,0.786164703493,0.786164703493,C08483
380.0284,9.97,0.75,0.75,C19054
494.0375,10.41,0.75,0.75,C08104
297.2396,11.32,0.75,0.75,C08318
