Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
Y_C00085, 0.893333333333, 0.308688984074, 0.0356443336102, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00086, 0.88, 0.324961536185, 0.0375233260786, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00089, 0.933333333333, 0.249443825785, 0.0288032919929, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00091, 0.893333333333, 0.308688984074, 0.0356443336102, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00092, 0.133333333333, 0.33993463424, 0.039252270517, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
Y_C00093, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00094, 0.933333333333, 0.249443825785, 0.0288032919929, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00095, 0.826666666667, 0.378535188442, 0.043709478589, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00096, 0.826666666667, 0.378535188442, 0.043709478589, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00097, 0.84, 0.366606055596, 0.042332020977, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00099, 0.906666666667, 0.290898989724, 0.0335901220048, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00100, 0.906666666667, 0.290898989724, 0.0335901220048, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00101, 0.893333333333, 0.308688984074, 0.0356443336102, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00103, 0.973333333333, 0.161107279648, 0.0186030662546, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00106, 0.853333333333, 0.353773310971, 0.0408502232643, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00108, 0.826666666667, 0.378535188442, 0.043709478589, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00109, 0.813333333333, 0.389643711899, 0.0449921803906, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00110, 0.88, 0.324961536185, 0.0375233260786, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00111, 0.853333333333, 0.353773310971, 0.0408502232643, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00114, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00116, 0.853333333333, 0.353773310971, 0.0408502232643, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00117, 0.853333333333, 0.353773310971, 0.0408502232643, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00118, 0.893333333333, 0.308688984074, 0.0356443336102, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00119, 0.92, 0.271293199325, 0.0313262403319, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00120, 0.84, 0.366606055596, 0.042332020977, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00121, 0.853333333333, 0.353773310971, 0.0408502232643, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00122, 0.92, 0.271293199325, 0.0313262403319, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00123, 0.88, 0.324961536185, 0.0375233260786, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00124, 0.933333333333, 0.249443825785, 0.0288032919929, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00125, 0.92, 0.271293199325, 0.0313262403319, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00126, 0.92, 0.271293199325, 0.0313262403319, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00127, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00128, 0.0133333333333, 0.114697670227, 0.0132441461562, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00129, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00132, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00134, 0.8, 0.4, 0.0461880215352, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00135, 0.906666666667, 0.290898989724, 0.0335901220048, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00136, 0.893333333333, 0.308688984074, 0.0356443336102, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00137, 0.933333333333, 0.249443825785, 0.0288032919929, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00138, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00139, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00140, 0.84, 0.366606055596, 0.042332020977, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00141, 0.893333333333, 0.308688984074, 0.0356443336102, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00143, 0.853333333333, 0.353773310971, 0.0408502232643, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00147, 0.866666666667, 0.33993463424, 0.039252270517, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00148, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00149, 0.866666666667, 0.33993463424, 0.039252270517, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00151, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00152, 0.866666666667, 0.33993463424, 0.039252270517, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00153, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00154, 0.92, 0.271293199325, 0.0313262403319, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00155, 0.92, 0.271293199325, 0.0313262403319, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00157, 0.813333333333, 0.389643711899, 0.0449921803906, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00158, 0.933333333333, 0.249443825785, 0.0288032919929, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00159, 0.946666666667, 0.224697327285, 0.0259458124788, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00160, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00162, 0.866666666667, 0.33993463424, 0.039252270517, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00163, 0.8, 0.4, 0.0461880215352, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00164, 0.893333333333, 0.308688984074, 0.0356443336102, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00166, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00168, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00169, 0.853333333333, 0.353773310971, 0.0408502232643, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00170, 0.92, 0.271293199325, 0.0313262403319, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00177, 0.84, 0.366606055596, 0.042332020977, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00178, 0.786666666667, 0.409661106553, 0.047303590029, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00179, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00181, 0.893333333333, 0.308688984074, 0.0356443336102, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00183, 0.88, 0.324961536185, 0.0375233260786, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00184, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00185, 0.853333333333, 0.353773310971, 0.0408502232643, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00186, 0.853333333333, 0.353773310971, 0.0408502232643, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00187, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00188, 0.866666666667, 0.33993463424, 0.039252270517, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00189, 0.8, 0.4, 0.0461880215352, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00190, 0.866666666667, 0.33993463424, 0.039252270517, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00191, 0.946666666667, 0.224697327285, 0.0259458124788, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00194, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00195, 0.826666666667, 0.378535188442, 0.043709478589, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00197, 0.933333333333, 0.249443825785, 0.0288032919929, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00198, 0.8, 0.4, 0.0461880215352, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00199, 0.893333333333, 0.308688984074, 0.0356443336102, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00201, 0.88, 0.324961536185, 0.0375233260786, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00208, 0.853333333333, 0.353773310971, 0.0408502232643, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00212, 0.826666666667, 0.378535188442, 0.043709478589, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00213, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00214, 0.88, 0.324961536185, 0.0375233260786, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00217, 0.826666666667, 0.378535188442, 0.043709478589, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00218, 0.8, 0.4, 0.0461880215352, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00219, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Y_C00221, 0.866666666667, 0.33993463424, 0.039252270517, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
Y_C00222, 0.96, 0.195959179423, 0.022627416998, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0
