Precursor Mass,Retention Time,Dataset,Source,Peak Name,HMDB Compounds,HMDB Fits,Metlin Compounds,Metlin Scores,MetFrag Compounds,MetFrag Scores
continuous,continuous,string,string,continuous,string,string,string,string,string,string
,,meta,meta,meta,meta,meta,meta,meta,meta,meta
325.0396,13.87,HilPos 03/24,,,C00105,0.65,,,"C01368, C03031, C00105, C01168, C14574","0.822084739407574, 0.774371953505812, 0.75, 0.41644340422597, 0.298123524907888"
264.1087,14.12,HilPos 03/24,,,,,,,C20706,0.75
239.1494,2.69,HilPos 03/24,,,,,,,C11079,0.0
300.1061,11.45,HilPos 03/24,,,,,,,C16352,0.75
308.0855,4.35,HilPos 03/24,,,C00051,0.43,C00051,8.0,,
319.1886,13.49,HilPos 03/24,,,,,C00399,9.0,"C15351, C14983, C15151","0.754413281876887, 0.75, 0.748396729209235"
228.0954,6.66,HilPos 03/24,,,C00881,0.38,C00881,50.0,C00881,0.75
356.0672,10.56,HilPos 03/24,,,,,,,C18730,0.75
247.129,16.87,HilPos 03/24,,,,,C02206,9.0,"C20424, C19972","0.75, 0.75"
239.0444,12.29,HilPos 03/24,,,,,,,C07268,0.75
259.0685,9.8,HilPos 03/24,,,,,,,"C03433, C03177, C07910","0.893911973360359, 0.733054754672523, 0.514305798446064"
366.0707,15.74,HilPos 03/24,,,,,,,C19044,0.75
169.0949,11.35,HilPos 03/24,,,C00534,0.51,C00534,17.0,"C13710, C11846, C00534","0.836651777228664, 0.830616802889185, 0.75"
150.0548,4.14,HilPos 03/24,,,,,,,"C09957, C03574, C11130, C02775, C05578, C00650, C03742","0.75, 0.739213439199893, 0.317511190751641, 0.251908372113046, 0.234263498425702, 0.127299324618078, 0.125824119029249"
415.1771,10.49,HilPos 03/24,,,,,,,C10707,0.75
326.0565,9.71,HilPos 03/24,,,,,,,C18852,0.75
273.24,13.39,HilPos 03/24,,,,,,,C18218,0.75
273.0036,18.54,HilPos 03/24,,,,,,,C16198,0.75
123.0441,10.32,HilPos 03/24,,,C00180,0.45,,,"C15474, C03067, C00633, C06202, C00539, C00180","0.795700201924219, 0.756028031832759, 0.756028031832759, 0.750801757928495, 0.713925144348238, 0.713925144348238"
203.1506,9.88,HilPos 03/24,,,,,C03626,36.0,"C01404, C03626","0.785704744603548, 0.630064889927113"
463.3044,34.33,HilPos 03/24,,,,,,,"C02513, C08832","0.772782949534542, 0.688048742145419"
429.2754,2.61,HilPos 03/24,,,,,,,C19798,0.0
277.1034,14.3,HilPos 03/24,,,,,,,"C19251, C14318, C19327, C17483, C17838, C09582, C14549, C09489, C09926, C20407, C09584, C20912, C05282, C01425","0.868079103916279, 0.840582208404482, 0.839473462617716, 0.751153095618237, 0.751020046123825, 0.689860129813578, 0.687313657947095, 0.673866652697175, 0.614188174516009, 0.612495149359802, 0.319711879210619, 0.214780726692474, 0.132382447457811, 0.132382447457811"
423.0594,10.53,HilPos 03/24,,,,,,,C13967,0.75
347.2033,13.07,HilPos 03/24,,,,,,,"C15079, C15327, C04529","0.75, 0.526036938934625, 0.256990717208305"
327.0662,11.24,HilPos 03/24,,,,,,,C02750,0.75
283.1756,2.67,HilPos 03/24,,,,,C19039,79.0,,
501.164,10.69,HilPos 03/24,,,,,,,"C17350, C01941, C00927, C01316","0.824550877538003, 0.824550877538003, 0.824550877538003, 0.75"
463.3075,13.02,HilPos 03/24,,,,,,,"C02513, C08832","0.75, 0.605674848026579"
384.1508,9.34,HilPos 03/24,,,C00611,0.44,,,"C07278, C06372, C20887, C00611, C18491, C19784","0.913903894994614, 0.913903894994614, 0.913677841698076, 0.913677841698076, 0.361883126215018, 0.290291309868835"
182.0662,8.51,HilPos 03/24,,,,,,,C21065,0.75
469.0763,10.7,HilPos 03/24,,,,,C06928,6.0,C06928,0.75
102.0556,16.72,HilPos 03/24,,,,,C01234,43.0,"C20905, C17234, C08267, C01234, C19456, C07509, C19777, C02926, C11106","0.894517282479142, 0.894517282479142, 0.894517282479142, 0.894517282479142, 0.775327771156138, 0.75, 0.679013361556741, 0.679013361556741, 0.0"
376.0613,13.75,HilPos 03/24,,,,,,,C11031,0.75
177.05,10.54,HilPos 03/24,,,C00438,0.27,,,"C04209, C00438","0.86676875957121, 0.348018297339789"
465.3215,13.41,HilPos 03/24,,,,,,,"C08835, C00477, C16496","0.75, 0.636398814110032, 0.636037491903868"
486.067,11.14,HilPos 03/24,,,,,,,C13378,0.75
380.0284,9.97,HilPos 03/24,,,,,,,C19054,0.75
280.0926,9.87,HilPos 03/24,,,,,,,C02328,0.75
335.0748,15.41,HilPos 03/24,,,,,,,"C01225, C10517, C04703, C04641, C18347, C09770","0.920670159955874, 0.900989474203832, 0.900989474203832, 0.900300009228653, 0.0411835188836822, 0.0222417278999678"
312.1307,7.32,HilPos 03/24,,,,,,,C05076,0.75
396.1736,34.44,HilPos 03/24,,,,,,,"C03717, C11563, C07464","0.820903798419438, 0.75, 0.295656908222712"
423.1741,5.44,HilPos 03/24,,,,,C07072,14.0,C07072,0.75
335.0957,9.29,HilPos 03/24,,,,,,,"C12400, C10966","0.845268068720379, 0.172086874054264"
147.0767,10.71,HilPos 03/24,,,"C00064, C00819","0.42, 0.69","C00064, C00819","64.0, 34.0","C00819, C00303, C00064","0.75, 0.75, 0.75"
365.1529,10.74,HilPos 03/24,,,,,,,C02999,0.75
301.0863,10.47,HilPos 03/24,,,,,,,C13414,0.791876131107983
355.0769,25.04,HilPos 03/24,,,,,,,C07952,0.75
203.0522,9.65,HilPos 03/24,,,,,,,C20581,0.75
221.0918,9.8,HilPos 03/24,,,C01017,0.32,C00643,62.0,"C00643, C01017, C19716, C09985","0.753664317628682, 0.75, 0.534049736930881, 0.131465831803516"
442.1472,25.93,HilPos 03/24,,,C00504,0.77,C00504,100.0,C00504,0.75
204.0864,7.48,HilPos 03/24,,,,,,,"C15383, C12986","0.75, 0.337566923755923"
151.0615,4.48,HilPos 03/24,,,"C00181, C00309","0.37, 0.36",C00508,4.0,"C21057, C16639, C08353, C02604, C02479, C02205, C02204, C02096, C01508, C01394, C00476, C00259, C00216, C00181, C00121, C21067, C20569, C06115, C01510, C21040, C08346, C08354, C00508, C00312, C00310, C00309, C01488, C11476, C05052, C08373","0.753391209983722, 0.753391209983722, 0.753391209983722, 0.753391209983722, 0.753391209983722, 0.753391209983722, 0.753391209983722, 0.753391209983722, 0.753391209983722, 0.753391209983722, 0.753391209983722, 0.753391209983722, 0.753391209983722, 0.753391209983722, 0.753391209983722, 0.75, 0.75, 0.75, 0.75, 0.6721161699414, 0.6721161699414, 0.656923549214325, 0.656923549214325, 0.656923549214325, 0.656923549214325, 0.656923549214325, 0.5548216552132, 0.470274035988059, 0.453894491766681, 0.115933195595682"
291.0985,25.01,HilPos 03/24,,,,,C14213,11.0,"C03414, C14213","0.75, 0.205371438493795"
383.09,10.43,HilPos 03/24,,,,,,,"C08474, C08473","0.882385172333481, 0.867421254666877"
296.0721,12.34,HilPos 03/24,,,,,,,C13061,0.75
331.1489,10.93,HilPos 03/24,,,,,,,C18422,0.821706285030683
427.3066,26.02,HilPos 03/24,,,,,,,C01591,0.75
348.0716,25.08,HilPos 03/24,,,,,"C00020, C01367","100.0, 44.0","C04378, C00362, C00020, C01367, C00946, C19970","0.796597822606468, 0.775226654817749, 0.770300019399992, 0.769635594167844, 0.765429326341616, 0.745560274599064"
343.0478,10.63,HilPos 03/24,,,,,,,C14432,0.75
423.2757,2.63,HilPos 03/24,,,,,,,C21130,0.75
283.1035,8.78,HilPos 03/24,,,,,,,"C20568, C01630, C02243, C12118","0.87747609333897, 0.858722668242685, 0.788370213820575, 0.75"
133.0613,11.11,HilPos 03/24,,,"C02642, C00152","0.53, 0.53","C00152, C02642","55.0, 20.0","C01043, C19258, C02037, C16438, C01905, C00152, C02642, C19301","0.803987380103302, 0.786814747337077, 0.776390237795207, 0.774731209805317, 0.774731209805317, 0.752442996742671, 0.73887091212292, 0.629607742770317"
365.106,8.61,HilPos 03/24,,,,,C17939,15.0,C10636,0.75
355.2842,2.24,HilPos 03/24,,,,,,,C12280,0.75
252.0331,25.12,HilPos 03/24,,,,,,,C11686,0.75
401.2628,2.63,HilPos 03/24,,,,,,,"C15280, C09145","0.755675526024363, 0.75"
175.1196,10.72,HilPos 03/24,,,C00062,0.26,C00062,70.0,C02385,0.75
172.097,25.03,HilPos 03/24,,,,,C11837,84.0,"C11837, C10284","0.75, 0.670154465246694"
427.3057,17.5,HilPos 03/24,,,,,,,C01591,0.75
287.0965,11.21,HilPos 03/24,,,,,,,"C03003, C18829","0.75, 0.000594461560282214"
906.1083,10.44,HilPos 03/24,,,,,,,C06387,0.75
104.108,13.09,HilPos 03/24,,,,,C00114,25.0,,
631.114,10.07,HilPos 03/24,,,,,,,"C08567, C20672","0.75, 0.0629997402067799"
90.0562,9.95,HilPos 03/24,,,"C00099, C00041, C00213, C00133","0.37, 0.41, 0.38, 0.35",,,"C11488, C02116, C01537, C01401, C00213, C00133, C00099, C00041","0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
255.1375,25.26,HilPos 03/24,,,,,C07890,2.0,C07890,0.75
472.1583,25.15,HilPos 03/24,,,,,,,C03204,0.75
426.0458,11.18,HilPos 03/24,,,C00068,0.6,,,,
293.1716,8.28,HilPos 03/24,,,,,,,"C10459, C09741","0.855002744237102, 0.701272535076118"
234.0977,12.39,HilPos 03/24,,,,,,,C07079,0.75
159.0914,9.68,HilPos 03/24,,,,,,,"C10161, C19463","0.81989660826036, 0.75"
301.1482,11.28,HilPos 03/24,,,,,,,C20962,0.75
305.125,17.32,HilPos 03/24,,,,,,,C09130,0.75
195.0063,11.22,HilPos 03/24,,,,,,,C12836,0.0
412.0339,10.43,HilPos 03/24,,,,,,,C10837,0.75
406.1065,12.32,HilPos 03/24,,,,,,,C13440,0.75
255.1012,14.4,HilPos 03/24,,,,,,,"C19895, C10505, C16584, C16582, C01716, C09165","0.825829507512521, 0.797358210661907, 0.205826070055045, 0.202173286692339, 0.183311639335405, 0.118747779233807"
69.0706,8.71,HilPos 03/24,,,,,,,C16521,0.0
560.3155,13.05,HilPos 03/24,,,,,,,C10280,0.75
473.1209,10.67,HilPos 03/24,,,,,,,C06491,0.75
337.9813,11.1,HilPos 03/24,,,,,,,C19126,0.75
302.1757,34.59,HilPos 03/24,,,,,C06967,7.0,C06967,0.75
613.3801,2.38,HilPos 03/24,,,,,,,C09127,0.75
203.0664,25.04,HilPos 03/24,,,,,,,"C20961, C19136","0.892793185228208, 0.242455789905764"
268.9991,9.72,HilPos 03/24,,,,,,,C14584,0.0
680.1088,2.07,HilPos 03/24,,,,,,,C01050,0.75
282.1187,14.46,HilPos 03/24,,,C02494,0.61,C04779,7.0,"C02494, C05031","0.768201088174506, 0.694102916110413"
327.1244,34.77,HilPos 03/24,,,,,,,"C17474, C18843, C18842, C19635, C08247, C08246, C08244, C20354, C19758","0.777506673634553, 0.739050730069872, 0.736523700397714, 0.666684101562183, 0.647049736986675, 0.647049736986675, 0.640679936525224, 0.632484774496589, 0.628783942261883"
148.0609,16.68,HilPos 03/24,,,"C00025, C12269","0.43, 0.41","C00025, C12269","58.0, 7.0","C05574, C03618, C12269, C05941, C03790, C00217, C00025, C00302, C05938","0.846799028153174, 0.817734686916053, 0.813278035587873, 0.805606873794066, 0.767980598238647, 0.760179142659358, 0.760179142659358, 0.75, 0.477430446282858"
437.236,2.64,HilPos 03/24,,,,,,,"C15676, C15269, C14664","0.8021072490717, 0.796511156229699, 0.75"
291.131,17.32,HilPos 03/24,,,,,,,C03406,0.75
464.3014,2.59,HilPos 03/24,,,,,,,"C17706, C02033","0.75, 0.75"
320.0962,6.42,HilPos 03/24,,,,,,,C00220,0.75
175.024,25.86,HilPos 03/24,,,"C00417, C02341","0.56, 0.56",,,"C02341, C00417, C05422","0.88478907053847, 0.88478907053847, 0.700306370546248"
182.0812,10.33,HilPos 03/24,,,C00082,0.25,"C00082, C04368","100.0, 46.0","C06420, C03290, C04368, C01536, C00082, C20807, C19712, C19579","0.787736210094241, 0.785228321889331, 0.758969889061385, 0.753513035209593, 0.753513035209593, 0.749818629964756, 0.737262380041053, 0.186370182097326"
310.1143,21.25,HilPos 03/24,,,C19910,0.53,"C19909, C19910, C00270","77.0, 77.0, 77.0","C19910, C19909, C00270, C03525, C21053","0.75, 0.75, 0.75, 0.685565684108306, 0.656097261992337"
316.9866,13.92,HilPos 03/24,,,,,,,"C19004, C14136","0.846285175009178, 0.75"
259.0927,16.27,HilPos 03/24,,,,,C09283,23.0,"C05131, C09980, C14115, C16744, C08465, C09618, C16929, C09283, C10268, C09273","0.832840236686391, 0.362479777366867, 0.357515002819279, 0.336940998233298, 0.321474815028623, 0.285156204501245, 0.284644512241513, 0.255755416995011, 0.234318729791648, 0.213971080546143"
295.1144,14.27,HilPos 03/24,,,,,,,"C09570, C03411","0.75, 0.649592702682374"
165.0549,10.33,HilPos 03/24,,,C00166,0.29,C00811,82.0,"C07114, C05838, C12621, C00811, C01772, C06738, C10945, C02763, C00166","0.786441137958482, 0.782004496060823, 0.779056817357802, 0.779056817357802, 0.768730118514782, 0.759533898305085, 0.748400766119988, 0.587376808014799, 0.586943872661253"
394.1225,10.46,HilPos 03/24,,,,,,,C01553,0.75
269.0953,5.19,HilPos 03/24,,,,,,,"C11265, C12117, C16603, C18286, C14851, C14565, C14558, C14557, C14556, C14849, C14850, C14461, C14459, C14576, C14564, C14563, C14560, C14559","0.865702491806355, 0.759270127514272, 0.749237340227309, 0.688605052207503, 0.688605052207503, 0.681614868524841, 0.681614868524841, 0.681614868524841, 0.681614868524841, 0.680548711173517, 0.680468681295696, 0.672892519528636, 0.672892519528636, 0.67014482705678, 0.67014482705678, 0.67014482705678, 0.67014482705678, 0.67014482705678"
253.0821,25.04,HilPos 03/24,,,,,,,C05648,0.75
491.2974,9.95,HilPos 03/24,,,,,,,C20016,0.75
295.115,15.73,HilPos 03/24,,,,,,,"C03411, C09570","0.891361219658826, 0.535357782226605"
139.0977,5.13,HilPos 03/24,,,,,C13692,35.0,"C13692, C20267","0.7520945334676, 0.75"
107.0492,9.27,HilPos 03/24,,,C00193,0.4,,,"C00261, C00193","0.75, 0.75"
252.1081,12.4,HilPos 03/24,,,,,"C06470, C00559","29.0, 4.0","C05198, C00559, C08431, C06470, C02517","0.771675058291185, 0.75, 0.746493746621873, 0.639577412654764, 0.516916570070036"
295.129,17.89,HilPos 03/24,,,C11045,0.39,C11045,12.0,C11045,0.782006323656223
370.14,15.65,HilPos 03/24,,,,,,,C13179,0.75
220.1179,13.57,HilPos 03/24,,,C00864,0.43,"C00864, C00371","79.0, 32.0","C00864, C15545, C00371","0.860975407111997, 0.644686346580725, 0.644686346580725"
267.0981,25.08,HilPos 03/24,,,,,,,"C19038, C14474","0.75, 0.195379752284925"
230.1196,2.49,HilPos 03/24,,,,,,,"C14312, C18810, C18814","0.794509722649073, 0.75, 0.723947334677651"
277.0389,11.14,HilPos 03/24,,,,,,,"C04485, C15627","0.84020055122812, 0.75"
205.0972,9.67,HilPos 03/24,,,C00078,0.34,"C00078, C00525","99.0, 77.0","C00078, C00806, C00525, C10743, C10968, C14916, C07839","0.815043416836084, 0.783648512667712, 0.780250510797498, 0.555930221760373, 0.478215815958484, 0.407981967173036, 0.350964931617345"
745.479,2.13,HilPos 03/24,,,,,,,C20094,0.75
331.2527,34.39,HilPos 03/24,,,,,,,"C14837, C14835, C14833","0.763766519823789, 0.75, 0.75"
511.1058,10.46,HilPos 03/24,,,,,,,"C15677, C08107, C19793","0.75, 0.635522720263762, 0.0850586929608894"
379.0853,15.97,HilPos 03/24,,,,,,,C14295,0.917124067937034
156.0772,11.15,HilPos 03/24,,,C00135,0.38,C00135,63.0,"C01162, C06419, C00768, C00135","0.819873807047991, 0.793418032816771, 0.75, 0.75"
240.1095,12.74,HilPos 03/24,,,C02953,0.55,,,"C00268, C04244, C20263, C02953","0.75, 0.747281256216268, 0.614456471515413, 0.614456471515413"
266.0805,18.96,HilPos 03/24,,,,,,,"C10681, C12250, C16625","0.753197562918579, 0.75, 0.391482601017339"
666.3911,9.83,HilPos 03/24,,,,,,,C13898,0.75
278.1238,11.42,HilPos 03/24,,,,,,,"C01449, C04424","0.75, 0.0333171627428175"
399.0028,10.4,HilPos 03/24,,,,,,,C08001,0.75
603.2123,10.39,HilPos 03/24,,,,,,,C05928,0.75
382.1224,4.49,HilPos 03/24,,,,,,,C07865,0.75
168.0634,13.82,HilPos 03/24,,,C00250,0.48,"C00250, C05831, C03493, C12323","33.0, 30.0, 29.0, 22.0","C03493, C12323, C03986, C20821, C05831, C00250, C14171, C14170, C06051","0.75, 0.749266400763016, 0.721727061169104, 0.714245716345324, 0.583055063344465, 0.573857955260119, 0.566943540845705, 0.565780288569691, 0.565231829133993"
409.1873,9.65,HilPos 03/24,,,,,,,C09579,0.75
383.1455,16.05,HilPos 03/24,,,,,C07081,2.0,C17765,0.75
349.184,2.66,HilPos 03/24,,,,,,,"C17638, C17005","0.75, 0.0351349205299746"
132.081,9.42,HilPos 03/24,,,C08313,0.25,C08313,62.0,"C02596, C08313","0.797571980284912, 0.75"
396.0237,11.09,HilPos 03/24,,,,,,,C05924,0.75
481.3176,12.95,HilPos 03/24,,,,,,,"C08811, C08838","0.75, 0.60709198052645"
650.3973,9.43,HilPos 03/24,,,,,,,C13901,0.75
304.1616,12.21,HilPos 03/24,,,,,,,C04211,0.75
759.5186,9.69,HilPos 03/24,,,,,,,C15937,0.75
629.3698,12.59,HilPos 03/24,,,,,,,C12871,0.75
382.0945,10.05,HilPos 03/24,,,,,,,C06628,0.75
167.0929,3.51,HilPos 03/24,,,,,,,C19872,0.75
462.1095,10.48,HilPos 03/24,,,,,,,C12018,0.75
261.1444,16.55,HilPos 03/24,,,,,,,"C21112, C11113","0.75, 0.202886915140201"
267.0593,8.85,HilPos 03/24,,,,,,,C08506,0.75
495.139,9.99,HilPos 03/24,,,,,,,C03709,0.75
324.0603,25.11,HilPos 03/24,,,C00055,0.31,"C00055, C15617","23.0, 6.0","C15617, C03104, C05822, C00055","0.75, 0.706776968467894, 0.52871050298504, 0.474713182638707"
370.1407,14.61,HilPos 03/24,,,,,,,C13179,0.75
301.1512,8.27,HilPos 03/24,,,,,,,"C18589, C20962","0.75, 0.000731213269656833"
209.0593,15.03,HilPos 03/24,,,,,,,"C11445, C18534, C03243, C16207","0.789715908844083, 0.75, 0.72555479455044, 0.715401510014817"
465.3066,12.99,HilPos 03/24,,,,,,,C08633,0.75
186.1127,9.87,HilPos 03/24,,,,,,,"C20673, C12449, C10858, C10356","0.807071320182094, 0.745533670188177, 0.745533670188177, 0.498900931167991"
663.0993,2.1,HilPos 03/24,,,,,,,"C19745, C19725","0.75, 0.75"
294.1188,21.31,HilPos 03/24,,,,,,,C02713,0.75
120.0658,10.61,HilPos 03/24,,,"C00188, C00263","0.52, 0.38","C00188, C05519, C03678, C00263","81.0, 81.0, 32.0, 29.0","C03678, C02115, C12317, C05519, C00820, C00188, C00263","0.850895347530764, 0.816238098538742, 0.767527511537096, 0.767527511537096, 0.767527511537096, 0.767527511537096, 0.75"
364.1222,10.11,HilPos 03/24,,,,,,,"C05194, C12225","0.752545687853137, 0.75"
341.1572,4.46,HilPos 03/24,,,,,,,C17971,0.75
495.3317,13.06,HilPos 03/24,,,,,,,"C16874, C08829","0.750626689542203, 0.75"
442.127,10.7,HilPos 03/24,,,,,,,C12948,0.75
226.0459,10.31,HilPos 03/24,,,,,,,C07999,0.75
355.0841,11.39,HilPos 03/24,,,,,,,C07952,0.75
344.2291,2.65,HilPos 03/24,,,,,,,C07879,0.75
472.0553,10.41,HilPos 03/24,,,,,,,C08103,0.75
238.0379,25.1,HilPos 03/24,,,,,,,C18929,0.75
104.1066,10.78,HilPos 03/24,,,,,C00114,23.0,,
611.1854,2.21,HilPos 03/24,,,,,C09755,45.0,C19690,0.75
503.3362,13.02,HilPos 03/24,,,,,,,C15622,0.75
583.2935,9.9,HilPos 03/24,,,,,,,C09999,0.75
359.1655,11.4,HilPos 03/24,,,,,,,C01675,0.75
668.2662,2.14,HilPos 03/24,,,,,,,C15655,0.75
133.0322,9.68,HilPos 03/24,,,,,,,C11074,0.75
264.0815,13.57,HilPos 03/24,,,,,,,C07650,0.75
163.0339,11.25,HilPos 03/24,,,,,,,C18457,0.0
385.2483,13.47,HilPos 03/24,,,,,,,C07753,0.75
420.0941,9.54,HilPos 03/24,,,,,,,C20439,0.75
341.1019,15.98,HilPos 03/24,,,,,,,"C14877, C17473, C03944, C10090, C08569","0.792696779814362, 0.740077820888392, 0.710423800735337, 0.709801168070339, 0.196470681488928"
457.1498,25.03,HilPos 03/24,,,,,,,C10886,0.75
517.1282,25.02,HilPos 03/24,,,,,,,"C10445, C16222, C10468","0.787035011137641, 0.75, 0.707016186645026"
521.1699,12.64,HilPos 03/24,,,,,,,C10313,0.75
507.3279,34.34,HilPos 03/24,,,,,,,C20009,0.75
304.1663,9.73,HilPos 03/24,,,,,,,"C04211, C15028","0.785174965776865, 0.468782331304018"
350.122,13.05,HilPos 03/24,,,,,C06897,11.0,"C11749, C06574, C06897, C07622","0.766754376543873, 0.755504242294061, 0.75, 0.552066974671551"
